team_xg,team_ratings
Arminia,arminia-bielefeld
Augsburg,fc-augsburg
Bayern Munich,fc-bayern-muenchen
Dortmund,borussia-dortmund
Düsseldorf,fortuna-duesseldorf
Eint Frankfurt,eintracht-frankfurt
Freiburg,sc-freiburg
Hamburger SV,hamburger-sv
Hannover 96,hannover-96
Hertha BSC,hertha-bsc
Hoffenheim,tsg-hoffenheim
Köln,1-fc-koeln
Leverkusen,bayer-04-leverkusen
M'Gladbach,bor-moenchengladbach
Mainz 05,1-fsv-mainz-05
Nürnberg,1-fc-nuernberg
Paderborn 07,sc-paderborn-07
RB Leipzig,rb-leipzig
Schalke 04,fc-schalke-04
Stuttgart,vfb-stuttgart
Union Berlin,1-fc-union-berlin
Werder Bremen,werder-bremen
Wolfsburg,vfl-wolfsburg
