match_id,home,round,season,team,xg,xg_against,score,score_against
0,1,1,2017-18,Bayern Munich,2.5,2.1,3,1
0,0,1,2017-18,Leverkusen,2.1,2.5,1,3
1,1,1,2017-18,Hoffenheim,1.2,1.0,1,0
1,0,1,2017-18,Werder Bremen,1.0,1.2,0,1
2,1,1,2017-18,Mainz 05,0.9,0.7,0,1
2,0,1,2017-18,Hannover 96,0.7,0.9,1,0
3,1,1,2017-18,Wolfsburg,0.5,1.1,0,3
3,0,1,2017-18,Dortmund,1.1,0.5,3,0
4,1,1,2017-18,Hamburger SV,0.7,0.6,1,0
4,0,1,2017-18,Augsburg,0.6,0.7,0,1
5,1,1,2017-18,Hertha BSC,0.7,1.2,2,0
5,0,1,2017-18,Stuttgart,1.2,0.7,0,2
6,1,1,2017-18,Schalke 04,1.6,0.9,2,0
6,0,1,2017-18,RB Leipzig,0.9,1.6,0,2
7,1,1,2017-18,Freiburg,0.2,1.3,0,0
7,0,1,2017-18,Eint Frankfurt,1.3,0.2,0,0
8,1,1,2017-18,M'Gladbach,1.5,1.0,1,0
8,0,1,2017-18,Köln,1.0,1.5,0,1
10,1,2,2017-18,Köln,2.3,1.7,1,3
10,0,2,2017-18,Hamburger SV,1.7,2.3,3,1
11,1,2,2017-18,Stuttgart,2.3,0.9,1,0
11,0,2,2017-18,Mainz 05,0.9,2.3,0,1
12,1,2,2017-18,Eint Frankfurt,1.4,1.0,0,1
12,0,2,2017-18,Wolfsburg,1.0,1.4,1,0
13,1,2,2017-18,Werder Bremen,0.4,1.8,0,2
13,0,2,2017-18,Bayern Munich,1.8,0.4,2,0
14,1,2,2017-18,Leverkusen,2.6,0.7,2,2
14,0,2,2017-18,Hoffenheim,0.7,2.6,2,2
15,1,2,2017-18,Augsburg,3.3,1.4,2,2
15,0,2,2017-18,M'Gladbach,1.4,3.3,2,2
16,1,2,2017-18,Dortmund,2.2,0.7,2,0
16,0,2,2017-18,Hertha BSC,0.7,2.2,0,2
17,1,2,2017-18,RB Leipzig,3.1,0.4,4,1
17,0,2,2017-18,Freiburg,0.4,3.1,1,4
18,1,2,2017-18,Hannover 96,0.9,0.4,1,0
18,0,2,2017-18,Schalke 04,0.4,0.9,0,1
20,1,3,2017-18,Hamburger SV,0.9,2.4,0,2
20,0,3,2017-18,RB Leipzig,2.4,0.9,2,0
21,1,3,2017-18,M'Gladbach,0.9,0.4,0,1
21,0,3,2017-18,Eint Frankfurt,0.4,0.9,1,0
22,1,3,2017-18,Mainz 05,1.3,0.9,3,1
22,0,3,2017-18,Leverkusen,0.9,1.3,1,3
23,1,3,2017-18,Wolfsburg,1.4,1.0,1,1
23,0,3,2017-18,Hannover 96,1.0,1.4,1,1
24,1,3,2017-18,Augsburg,2.0,0.7,3,0
24,0,3,2017-18,Köln,0.7,2.0,0,3
25,1,3,2017-18,Freiburg,0.7,1.6,0,0
25,0,3,2017-18,Dortmund,1.6,0.7,0,0
26,1,3,2017-18,Hoffenheim,0.4,1.8,2,0
26,0,3,2017-18,Bayern Munich,1.8,0.4,0,2
27,1,3,2017-18,Hertha BSC,0.9,1.1,1,1
27,0,3,2017-18,Werder Bremen,1.1,0.9,1,1
28,1,3,2017-18,Schalke 04,2.3,1.3,3,1
28,0,3,2017-18,Stuttgart,1.3,2.3,1,3
30,1,4,2017-18,Hannover 96,1.8,0.7,2,0
30,0,4,2017-18,Hamburger SV,0.7,1.8,0,2
31,1,4,2017-18,Bayern Munich,4.9,0.7,4,0
31,0,4,2017-18,Mainz 05,0.7,4.9,0,4
32,1,4,2017-18,Werder Bremen,0.9,0.9,1,2
32,0,4,2017-18,Schalke 04,0.9,0.9,2,1
33,1,4,2017-18,Stuttgart,0.9,0.5,1,0
33,0,4,2017-18,Wolfsburg,0.5,0.9,0,1
34,1,4,2017-18,Eint Frankfurt,1.8,1.0,1,2
34,0,4,2017-18,Augsburg,1.0,1.8,2,1
35,1,4,2017-18,RB Leipzig,1.3,1.7,2,2
35,0,4,2017-18,M'Gladbach,1.7,1.3,2,2
36,1,4,2017-18,Hoffenheim,0.7,0.8,1,1
36,0,4,2017-18,Hertha BSC,0.8,0.7,1,1
37,1,4,2017-18,Leverkusen,2.7,0.6,4,0
37,0,4,2017-18,Freiburg,0.6,2.7,0,4
38,1,4,2017-18,Dortmund,3.1,0.5,5,0
38,0,4,2017-18,Köln,0.5,3.1,0,5
40,1,5,2017-18,M'Gladbach,1.3,0.8,2,0
40,0,5,2017-18,Stuttgart,0.8,1.3,0,2
41,1,5,2017-18,Schalke 04,1.0,2.3,0,3
41,0,5,2017-18,Bayern Munich,2.3,1.0,3,0
42,1,5,2017-18,Wolfsburg,1.0,1.5,1,1
42,0,5,2017-18,Werder Bremen,1.5,1.0,1,1
43,1,5,2017-18,Augsburg,1.1,0.9,1,0
43,0,5,2017-18,RB Leipzig,0.9,1.1,0,1
44,1,5,2017-18,Köln,1.7,1.7,0,1
44,0,5,2017-18,Eint Frankfurt,1.7,1.7,1,0
