Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-24,20:30,Bayern Munich,2.8,3–1,0.9,Hoffenheim,75000,Allianz Arena,Bastian Dankert,Match Report,
Regular Season,1,Sat,2018-08-25,15:30,Düsseldorf,1.3,1–2,1.3,Augsburg,40996,Merkur Spielarena,Markus Schmidt,Match Report,
Regular Season,1,Sat,2018-08-25,15:30,Hertha BSC,1.4,1–0,1.3,Nürnberg,52729,Olympiastadion Berlin,Tobias Welz,Match Report,
Regular Season,1,Sat,2018-08-25,15:30,Wolfsburg,1.3,2–1,1.4,Schalke 04,26621,Volkswagen Arena,Patrick Ittrich,Match Report,
Regular Season,1,Sat,2018-08-25,15:30,Werder Bremen,1.8,1–1,1.0,Hannover 96,42100,Weserstadion,Felix Brych,Match Report,
Regular Season,1,Sat,2018-08-25,15:30,Freiburg,2.0,0–2,0.9,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
Regular Season,1,Sat,2018-08-25,18:30,M'Gladbach,4.1,2–0,1.4,Leverkusen,53087,Stadion im Borussia-Park,Christian Dingert,Match Report,
Regular Season,1,Sun,2018-08-26,15:30,Mainz 05,1.1,1–0,1.0,Stuttgart,28705,Opel Arena,Daniel Siebert,Match Report,
Regular Season,1,Sun,2018-08-26,18:00,Dortmund,1.0,4–1,1.6,RB Leipzig,80365,Signal Iduna Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,,
Regular Season,2,Fri,2018-08-31,20:30,Hannover 96,0.8,0–0,0.7,Dortmund,49000,HDI-Arena,Felix Zwayer,Match Report,
Regular Season,2,Sat,2018-09-01,15:30,Eint Frankfurt,1.2,1–2,1.7,Werder Bremen,50000,Commerzbank-Arena,Sören Storks,Match Report,
Regular Season,2,Sat,2018-09-01,15:30,Leverkusen,1.5,1–3,1.2,Wolfsburg,26247,BayArena,Sven Jablonski,Match Report,
